set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.000,83,0.006,0.009,187,0.000,0.001,0.004,  6.61, 5.76,0.000, 50, -6, -8
,,,,,,0.738,0.382,  4.30, 4.02,0.000, 38,-16, -8
,,,,,,0.957,0.501,  3.99, 3.76,0.000, 50,-10,  0
,,0.061,0.043,111,0.003,0.030,0.101,  5.51, 4.97,0.000, 36, 10, -6
,,,,,,0.693,0.371,  4.34, 4.05,0.000, 36,  6,-14
,,0.012,0.014,162,0.001,0.134,0.279,  5.03, 4.61,0.000, 28,-38,-26
,,,,,,0.163,0.279,  4.97, 4.56,0.000, 30,-58,-28
,,,,,,0.442,0.290,  4.58, 4.25,0.000, 30,-48,-28
,,0.092,0.057,99,0.005,0.224,0.279,  4.85, 4.47,0.000, -8, 12, 38
,,,,,,1.000,0.920,  3.35, 3.20,0.001,-12, 18, 24
,,0.002,0.008,229,0.000,0.288,0.279,  4.76, 4.39,0.000,-14,-40, 42
,,,,,,0.662,0.371,  4.37, 4.08,0.000,-12,-48, 54
,,,,,,0.999,0.704,  3.70, 3.51,0.000, -4,-48, 64
,,1.000,0.770,4,0.533,0.327,0.279,  4.71, 4.35,0.000, -4, 10, 20
,,0.005,0.009,189,0.000,0.350,0.279,  4.68, 4.33,0.000, 14,-42, 50
,,,,,,1.000,0.920,  3.31, 3.17,0.001, 12,-54, 60
,,0.868,0.559,28,0.100,0.460,0.290,  4.56, 4.23,0.000, 14,-34,-30
,,0.140,0.079,87,0.007,0.508,0.298,  4.52, 4.20,0.000,-10,-12, 38
,,0.044,0.035,121,0.002,0.515,0.298,  4.51, 4.19,0.000, 16,-30, 40
,,,,,,0.972,0.523,  3.94, 3.72,0.000, 10,-22, 38
,,0.646,0.407,41,0.051,0.667,0.371,  4.37, 4.07,0.000,-14,-34,-30
,,,,,,0.965,0.516,  3.96, 3.74,0.000,-20,-36,-24
,,0.407,0.246,56,0.026,0.757,0.382,  4.28, 4.00,0.000,-40,-20,  8
,,,,,,0.998,0.704,  3.71, 3.52,0.000,-36,-20, -8
,,,,,,1.000,0.855,  3.47, 3.31,0.000,-34,-24,  0
,,0.015,0.015,154,0.001,0.774,0.382,  4.26, 3.99,0.000, 54,-28, 22
,,,,,,0.915,0.493,  4.08, 3.83,0.000, 62,-26, 36
,,0.908,0.592,25,0.118,0.801,0.382,  4.23, 3.96,0.000,-28, 22,  2
,,0.735,0.446,36,0.066,0.806,0.382,  4.23, 3.96,0.000,-22,  2,-36
,,0.896,0.590,26,0.112,0.814,0.382,  4.22, 3.95,0.000,-24,-56,-18
,,0.999,0.770,9,0.340,0.900,0.489,  4.10, 3.85,0.000, -4,  0, 36
,,0.999,0.770,9,0.340,0.913,0.493,  4.08, 3.84,0.000,-62,-24,-32
,,1.000,0.770,6,0.439,0.935,0.501,  4.04, 3.80,0.000, 32,-24, 36
,,0.510,0.305,49,0.035,0.942,0.501,  4.03, 3.79,0.000, -8, 50, 22
,,0.837,0.533,30,0.090,0.947,0.501,  4.01, 3.78,0.000,  8,  2, 42
,,0.770,0.461,34,0.073,0.949,0.501,  4.01, 3.78,0.000,-16, 10, 68
,,,,,,1.000,0.920,  3.33, 3.19,0.001,-22, 10, 60
,,0.942,0.637,22,0.141,0.959,0.501,  3.98, 3.75,0.000, 64,-20,  8
,,0.974,0.770,18,0.180,0.969,0.519,  3.95, 3.73,0.000, -6,-86, 30
,,1.000,0.770,3,0.595,0.976,0.527,  3.92, 3.70,0.000, 20,-46,  6
,,0.994,0.770,13,0.252,0.977,0.527,  3.92, 3.70,0.000, 64,-38, 14
,,0.984,0.770,16,0.205,0.978,0.527,  3.91, 3.69,0.000,  4,  4, 62
,,0.717,0.446,37,0.063,0.983,0.550,  3.89, 3.67,0.000,  4, 28, 22
,,0.998,0.770,10,0.314,0.991,0.617,  3.84, 3.63,0.000, 42,-38,  0
,,0.942,0.637,22,0.141,0.992,0.619,  3.83, 3.62,0.000,-34, -6, 42
,,0.998,0.770,10,0.314,0.993,0.629,  3.81, 3.61,0.000, 24,-14, 50
,,0.996,0.770,12,0.270,0.994,0.644,  3.80, 3.60,0.000, -4,-56,-24
,,0.999,0.770,9,0.340,0.995,0.649,  3.79, 3.59,0.000,-26, 24, 36
,,1.000,0.770,5,0.482,0.996,0.659,  3.77, 3.57,0.000, 28, -4,-28
,,0.991,0.770,14,0.235,0.998,0.704,  3.73, 3.53,0.000, 18,-20, 74
,,0.988,0.770,15,0.219,0.998,0.704,  3.71, 3.52,0.000,-32, -2, 58
,,,,,,1.000,0.855,  3.46, 3.30,0.000,-28,  4, 54
,,0.996,0.770,12,0.270,0.999,0.704,  3.71, 3.52,0.000,-38, -8,  4
,,1.000,0.770,3,0.595,0.999,0.704,  3.70, 3.52,0.000,-24, -4, -8
,,0.991,0.770,14,0.235,0.999,0.729,  3.68, 3.49,0.000, 36,-26,  2
,,0.999,0.770,9,0.340,0.999,0.774,  3.65, 3.47,0.000,-38, 26, -8
,,1.000,0.770,4,0.533,1.000,0.774,  3.64, 3.46,0.000,-18,-24,  4
,,0.999,0.770,9,0.340,1.000,0.837,  3.60, 3.42,0.000, 52,  8,-10
,,1.000,0.770,7,0.401,1.000,0.855,  3.57, 3.40,0.000, 10,-22,-30
,,1.000,0.770,7,0.401,1.000,0.855,  3.57, 3.40,0.000,-56,-34, 20
,,1.000,0.770,3,0.595,1.000,0.855,  3.56, 3.39,0.000, 16, 16, 32
,,0.991,0.770,14,0.235,1.000,0.855,  3.53, 3.37,0.000,-32, 38, 28
,,1.000,0.770,7,0.401,1.000,0.855,  3.53, 3.36,0.000, 10, 12, 34
,,0.994,0.770,13,0.252,1.000,0.855,  3.52, 3.36,0.000, 50,  4, 30
,,1.000,0.770,4,0.533,1.000,0.855,  3.52, 3.36,0.000, 42,-34, 18
,,1.000,0.770,5,0.482,1.000,0.855,  3.52, 3.35,0.000, 24, 12, 24
,,0.999,0.770,8,0.368,1.000,0.855,  3.51, 3.35,0.000, 30,  2, 56
,,1.000,0.770,5,0.482,1.000,0.855,  3.51, 3.35,0.000, 16,-70,-24
,,1.000,0.770,3,0.595,1.000,0.855,  3.51, 3.35,0.000, 48,-40, 26
,,1.000,0.770,3,0.595,1.000,0.855,  3.50, 3.34,0.000, 28, 14,-36
,,1.000,0.770,3,0.595,1.000,0.855,  3.49, 3.33,0.000, 30,-44, 38
,,1.000,0.770,5,0.482,1.000,0.855,  3.49, 3.33,0.000, -2,-30,-16
,,0.998,0.770,10,0.314,1.000,0.855,  3.47, 3.31,0.000,-52,  2, -8
,,0.994,0.770,13,0.252,1.000,0.855,  3.46, 3.30,0.000, 10, 38, 22
,,,,,,1.000,0.905,  3.36, 3.21,0.001, 10, 44, 30
,,1.000,0.770,2,0.673,1.000,0.855,  3.46, 3.30,0.000, 16,  6, -8
,,1.000,0.770,2,0.673,1.000,0.855,  3.44, 3.29,0.001, 56,-30,  4
,,1.000,0.770,2,0.673,1.000,0.855,  3.43, 3.28,0.001, 40, -2,-16
,,0.996,0.770,12,0.270,1.000,0.855,  3.43, 3.28,0.001, 22,-60, 46
,,1.000,0.770,3,0.595,1.000,0.855,  3.43, 3.27,0.001,-30,-38, 20
,,1.000,0.770,4,0.533,1.000,0.855,  3.42, 3.27,0.001,-64,-38, 20
,,1.000,0.770,2,0.673,1.000,0.855,  3.42, 3.27,0.001,-36, 40, 36
,,1.000,0.770,3,0.595,1.000,0.855,  3.42, 3.26,0.001,-12,-32, 34
,,1.000,0.770,2,0.673,1.000,0.890,  3.39, 3.24,0.001,-48,-58,  4
,,1.000,0.770,2,0.673,1.000,0.892,  3.39, 3.24,0.001,-26,-16,-28
,,1.000,0.770,5,0.482,1.000,0.899,  3.37, 3.23,0.001, 20, 16, 62
,,1.000,0.770,3,0.595,1.000,0.905,  3.36, 3.22,0.001,  6,-16,-20
,,1.000,0.770,2,0.673,1.000,0.920,  3.33, 3.19,0.001,-16,-76,-38
,,1.000,0.770,2,0.673,1.000,0.920,  3.33, 3.18,0.001,-10,-44,-26
,,1.000,0.770,4,0.533,1.000,0.920,  3.32, 3.18,0.001, 24, 22,-24
,,1.000,0.770,2,0.673,1.000,0.920,  3.32, 3.18,0.001, 32, 36, -8
,,1.000,0.770,3,0.595,1.000,0.920,  3.32, 3.18,0.001, -4, -6, 68
,,1.000,0.770,2,0.673,1.000,0.930,  3.31, 3.17,0.001,-46,-64,  0
,,1.000,0.770,2,0.673,1.000,0.930,  3.30, 3.16,0.001,-32,-54,-46
,,1.000,0.770,2,0.673,1.000,0.930,  3.28, 3.15,0.001, 54,-44,  4
,,1.000,0.770,2,0.673,1.000,0.930,  3.28, 3.14,0.001, 48,-36, -8
,,1.000,0.770,2,0.673,1.000,0.930,  3.28, 3.14,0.001,-14, 34, 16
,,1.000,0.770,3,0.595,1.000,0.930,  3.27, 3.13,0.001, 14,-10,  4
,,1.000,0.770,2,0.673,1.000,0.930,  3.27, 3.13,0.001,-10,  2, 60
,,1.000,0.770,2,0.673,1.000,0.930,  3.26, 3.13,0.001, 22, 10, 64
